geoid,geoid2,geodisplay,naicsid,establishment_type,op_type,tax_type,year,est_count,receipts,op_exp,payroll,q1payroll,employees,receipts_from_admin,receipts_from_estimate
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Type of operation or tax status code,Meaning of Type of operation or tax status code,Year,Number of establishments,"Receipts/Revenue ($1,000)","Operating expenses ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of receipts/revenue from administrative records (%),Percent of receipts/revenue estimated (%)
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611430,Professional and management development training,A,All establishments,2012,41,D,N,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611430,Professional and management development training,T,Establishments subject to federal income tax,2012,31,D,N,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611430,Professional and management development training,Y,Establishments exempt from federal income tax,2012,10,D,D,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",6115,Technical and trade schools,A,All establishments,2012,50,D,N,D,D,e,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",6115,Technical and trade schools,T,Establishments subject to federal income tax,2012,33,D,N,D,D,e,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",6115,Technical and trade schools,Y,Establishments exempt from federal income tax,2012,17,D,D,D,D,c,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61151,Technical and trade schools,A,All establishments,2012,50,D,N,D,D,e,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61151,Technical and trade schools,T,Establishments subject to federal income tax,2012,33,D,N,D,D,e,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61151,Technical and trade schools,Y,Establishments exempt from federal income tax,2012,17,D,D,D,D,c,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611511,Cosmetology and barber schools,A,All establishments,2012,10,D,N,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611511,Cosmetology and barber schools,T,Establishments subject to federal income tax,2012,10,D,N,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611512,Flight training,A,All establishments,2012,4,D,N,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611512,Flight training,T,Establishments subject to federal income tax,2012,4,D,N,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611513,Apprenticeship training,A,All establishments,2012,11,D,N,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611513,Apprenticeship training,T,Establishments subject to federal income tax,2012,1,D,N,D,D,a,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611513,Apprenticeship training,Y,Establishments exempt from federal income tax,2012,10,6230,6281,2426,583,84,28.9,0
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611519,Other technical and trade schools,A,All establishments,2012,25,D,N,D,D,e,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611519,Other technical and trade schools,T,Establishments subject to federal income tax,2012,18,D,N,D,D,c,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611519,Other technical and trade schools,Y,Establishments exempt from federal income tax,2012,7,D,D,D,D,c,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",6116,Other schools and instruction,A,All establishments,2012,184,D,N,D,D,g,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",6116,Other schools and instruction,T,Establishments subject to federal income tax,2012,130,D,N,D,D,g,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",6116,Other schools and instruction,Y,Establishments exempt from federal income tax,2012,54,D,D,D,D,e,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61161,Fine arts schools,A,All establishments,2012,51,D,N,D,D,f,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61161,Fine arts schools,T,Establishments subject to federal income tax,2012,32,D,N,D,D,f,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61161,Fine arts schools,Y,Establishments exempt from federal income tax,2012,19,D,D,D,D,c,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611610,Fine arts schools,A,All establishments,2012,51,D,N,D,D,f,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611610,Fine arts schools,T,Establishments subject to federal income tax,2012,32,D,N,D,D,f,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611610,Fine arts schools,Y,Establishments exempt from federal income tax,2012,19,D,D,D,D,c,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",6116101,Dance schools (including children's and professionals'),A,All establishments,2012,30,D,N,D,D,e,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",6116101,Dance schools (including children's and professionals'),T,Establishments subject to federal income tax,2012,22,D,N,D,D,c,D,D
