GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Country,Geographic region,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0100000US,,United States,330M200US316,316,"United States - Kokomo-Peru, IN CSA","Kokomo-Peru, IN CSA",119655,119655,119528,119438,119399,118949,118676,118418
0100000US,,United States,330M200US318,318,"United States - Lafayette-Opelousas-Morgan City, LA CSA","Lafayette-Opelousas-Morgan City, LA CSA",604784,604784,605645,608254,611253,616915,622437,627146
0100000US,,United States,330M200US320,320,"United States - Lafayette-West Lafayette-Frankfort, IN CSA","Lafayette-West Lafayette-Frankfort, IN CSA",235013,235017,235290,237528,240299,243021,244943,246972
0100000US,,United States,330M200US330,330,"United States - Lansing-East Lansing-Owosso, MI CSA","Lansing-East Lansing-Owosso, MI CSA",534684,534680,534846,536071,536141,536929,539211,540895
0100000US,,United States,330M200US332,332,"United States - Las Vegas-Henderson, NV-AZ CSA","Las Vegas-Henderson, NV-AZ CSA",2195401,2195400,2197608,2213276,2244335,2273489,2314680,2362015
0100000US,,United States,330M200US336,336,"United States - Lexington-Fayette--Richmond--Frankfort, KY CSA","Lexington-Fayette--Richmond--Frankfort, KY CSA",687173,687173,689010,695806,703101,709070,716216,723849
0100000US,,United States,330M200US338,338,"United States - Lima-Van Wert-Celina, OH CSA","Lima-Van Wert-Celina, OH CSA",221838,221838,221786,221285,220763,220360,220306,219831
0100000US,,United States,330M200US339,339,"United States - Lincoln-Beatrice, NE CSA","Lincoln-Beatrice, NE CSA",324468,324468,325279,328683,332347,336469,341502,345478
0100000US,,United States,330M200US340,340,"United States - Little Rock-North Little Rock, AR CSA","Little Rock-North Little Rock, AR CSA",877091,877157,879832,887995,893835,898638,902386,904469
0100000US,,United States,330M200US346,346,"United States - Longview-Marshall, TX CSA","Longview-Marshall, TX CSA",280000,280013,280436,282286,283022,282639,283266,284527
0100000US,,United States,330M200US348,348,"United States - Los Angeles-Long Beach, CA CSA","Los Angeles-Long Beach, CA CSA",17877006,17877325,17913101,18085449,18242277,18393734,18539231,18679763
0100000US,,United States,330M200US350,350,"United States - Louisville/Jefferson County--Elizabethtown--Madison, KY-IN CSA","Louisville/Jefferson County--Elizabethtown--Madison, KY-IN CSA",1459911,1459926,1463781,1472246,1479782,1491666,1500396,1504559
0100000US,,United States,330M200US352,352,"United States - Lubbock-Levelland, TX CSA","Lubbock-Levelland, TX CSA",313740,313740,315061,318358,321087,325066,330279,334587
0100000US,,United States,330M200US356,356,"United States - Macon-Warner Robins, GA CSA","Macon-Warner Robins, GA CSA",411898,411898,412680,416414,418264,417770,418125,418245
0100000US,,United States,330M200US357,357,"United States - Madison-Janesville-Beloit, WI CSA","Madison-Janesville-Beloit, WI CSA",827742,827744,828822,836337,843490,851392,858991,866475
0100000US,,United States,330M200US358,358,"United States - Manhattan-Junction City, KS CSA","Manhattan-Junction City, KS CSA",127081,127097,128604,130667,136576,135110,134246,135575
0100000US,,United States,330M200US359,359,"United States - Mankato-New Ulm-North Mankato, MN CSA","Mankato-New Ulm-North Mankato, MN CSA",122633,122633,122696,122981,123422,123118,124044,124447
0100000US,,United States,330M200US360,360,"United States - Mansfield-Ashland-Bucyrus, OH CSA","Mansfield-Ashland-Bucyrus, OH CSA",221398,221398,221262,219658,218665,218139,217438,217226
0100000US,,United States,330M200US362,362,"United States - Martin-Union City, TN-KY CSA","Martin-Union City, TN-KY CSA",73641,73641,73662,73316,72668,71734,71276,70837
